Word 1,Word 2,Human (mean),Spearmanr,Cosin
love,sex,6.77,-0.007006675166879172,-0.011591572314500809
tiger,cat,7.35,-0.03460886522163054,-0.033299703150987625
tiger,tiger,10.0,1.0,1.0
book,paper,7.46,0.04945173629340734,0.0525154285132885
computer,keyboard,7.62,0.17798094952373814,0.1767968237400055
computer,internet,7.58,0.044671116777919455,0.06548473984003067
plane,car,5.77,0.024488112202805074,0.02958366461098194
train,car,6.31,0.030657766444161107,0.032509833574295044
telephone,communication,7.5,-0.05706892672316809,-0.06027340888977051
television,radio,6.77,0.0803195079876997,0.09672389924526215
media,radio,7.42,-0.04448961224030601,-0.046785712242126465
drug,abuse,6.85,-0.05605940148503713,-0.058221686631441116
bread,butter,6.19,-0.06563114077851948,-0.045491818338632584
cucumber,potato,5.92,,
doctor,nurse,7.0,-0.1269226730668267,-0.12715181708335876
professor,doctor,6.62,0.025392634815870396,0.023049931973218918
student,professor,6.81,0.06622065551638792,0.05674678459763527
smart,student,4.62,0.06075751893797345,0.06195497885346413
smart,stupid,5.81,-0.06380409510237757,-0.07616372406482697
company,stock,7.08,-0.03888697217430436,-0.035950515419244766
stock,market,8.08,0.014725868146703671,0.0175242330878973
stock,phone,1.62,-0.04147453686342159,-0.044761914759874344
stock,CD,1.31,-0.004957623940598515,-0.012754255905747414
stock,jaguar,0.92,0.06514212855321383,0.05553233250975609
stock,egg,1.81,0.058291457286432175,0.06063046678900719
fertility,egg,6.69,-0.08953723843096079,-0.08470676839351654
stock,live,3.73,-0.18412810320258008,-0.18927748501300812
stock,life,0.92,-0.10971424285607141,-0.11003625392913818
book,library,7.46,-0.012318307957698943,-0.0011410702718421817
bank,money,8.12,-0.056401410035250885,-0.05289000645279884
wood,forest,7.73,-0.11768244206105154,-0.11434408277273178
money,cash,9.15,-0.04490062251556289,-0.04683104529976845
professor,cucumber,0.31,,
king,cabbage,0.23,0.01890647266181655,0.030706897377967834
king,queen,8.58,-0.08400210005250133,-0.0782167986035347
king,rook,5.92,,
bishop,rabbi,6.69,0.03235430885772145,0.038635917007923126
Jerusalem,Israel,8.46,0.08339458486462162,0.08771885931491852
Jerusalem,Palestinian,7.65,-0.005203630090752269,-0.0019809044897556305
holy,sex,1.62,0.11255531388284709,0.11881448328495026
fuck,sex,9.44,0.023021075526888174,0.014142082072794437
Maradona,football,8.62,,
football,soccer,9.03,0.10000150003750095,0.08703702688217163
football,basketball,6.81,0.08604215105377634,0.08413098752498627
football,tennis,6.63,0.110780769519238,0.09964842349290848
tennis,racket,7.56,0.06553063826595666,0.058645475655794144
Arafat,peace,6.73,,
Arafat,terror,7.65,,
Arafat,Jackson,2.5,,
law,lawyer,8.38,-0.048890722268056706,-0.047867413610219955
movie,star,7.38,0.12622815570389262,0.10077512264251709
movie,popcorn,6.19,0.09017025425635641,0.09470044076442719
movie,critic,6.73,0.016381909547738695,0.024342969059944153
movie,theater,7.92,-0.08576464411610292,-0.06031611189246178
physics,proton,8.12,-0.08596264906622667,-0.07439249008893967
physics,chemistry,7.35,-0.045784144603615094,-0.043561484664678574
space,chemistry,4.88,-0.1246921173029326,-0.14680996537208557
alcohol,chemistry,5.54,0.03203480087002175,0.04020865261554718
vodka,gin,8.46,,
vodka,brandy,8.13,,
drink,car,3.04,0.0596279906997675,0.06463337689638138
drink,ear,1.31,-0.014488862221555541,-0.01632193848490715
drink,mouth,5.96,-0.0189004725118128,-0.009753219783306122
drink,eat,6.87,-0.12546463661591542,-0.13193154335021973
baby,mother,7.85,0.00027900697517437944,-0.0018508339999243617
drink,mother,2.65,-0.04502212555313883,-0.04444747418165207
car,automobile,8.94,0.03863946598664967,0.04292840510606766
gem,jewel,8.96,,
journey,voyage,9.29,0.005391134778369459,0.0006676058983430266
boy,lad,8.83,-0.06313357833945848,-0.06303234398365021
coast,shore,9.1,0.08337958448961225,0.08502797037363052
asylum,madhouse,8.87,,
magician,wizard,9.02,0.10049201230030752,0.10081548243761063
midday,noon,9.29,-0.02545713642841071,-0.025829138234257698
furnace,stove,8.79,,
food,fruit,7.52,0.011908797719943,0.012967463582754135
bird,cock,7.1,-0.021812045301132534,-0.03289363533258438
bird,crane,7.38,0.06462761569039227,0.0627979040145874
tool,implement,6.46,-0.023666091652291308,-0.02389206364750862
brother,monk,6.27,0.12248406210155255,0.12287338823080063
crane,implement,2.69,0.015037875946898675,0.0010929746786132455
lad,brother,4.46,0.006832670816770421,-0.0007857356104068458
journey,car,5.85,-0.002020550513762844,-0.001285608159378171
monk,oracle,5.0,,
cemetery,woodland,2.08,-0.00013800345008625216,-0.003146911272779107
food,rooster,4.42,-0.028554713867846703,-0.037676841020584106
coast,hill,4.38,-0.0016935423385584644,0.009570888243615627
forest,graveyard,1.85,-0.08228155703892599,-0.07606606185436249
shore,woodland,3.08,-0.001684542113552839,-0.012569978833198547
monk,slave,0.92,0.0463601590039751,0.027574770152568817
coast,forest,3.15,0.02109952748818721,0.016649173572659492
lad,wizard,0.92,-0.016870921773044327,-0.014697636477649212
chord,smile,0.54,0.06226205655141379,0.06601374596357346
glass,magician,2.08,-0.04679366984174605,-0.051017358899116516
noon,string,0.54,0.08665566639165981,0.08219366520643234
rooster,voyage,0.62,0.06128253206330159,0.05891529470682144
money,dollar,8.42,0.024179104477611943,0.009023387916386127
money,cash,9.08,-0.04490062251556289,-0.04683104529976845
money,currency,9.04,0.0191764794119853,0.025559166446328163
money,wealth,8.27,0.043867096677416936,0.0531812384724617
money,property,7.57,-0.015364884122103054,-0.01682455465197563
money,possession,7.29,0.07947948698717469,0.08678336441516876
money,bank,8.5,-0.056401410035250885,-0.05289000645279884
money,deposit,7.73,0.033497337433435845,0.03441423922777176
money,withdrawal,6.88,-0.08254106352658817,-0.06188306212425232
money,laundering,5.65,,
money,operation,3.31,0.01906097652441311,0.03146307170391083
tiger,jaguar,8.0,-0.03590039750993775,-0.03404117375612259
tiger,feline,8.0,0.025862146553663846,0.01810106821358204
tiger,carnivore,7.08,,
tiger,mammal,6.85,0.09376884422110554,0.09433228522539139
tiger,animal,7.0,-0.06458261456536414,-0.0693826824426651
tiger,organism,4.77,-0.009756243906097655,-0.008152182213962078
tiger,fauna,5.62,-0.04307357683942099,-0.037111032754182816
tiger,zoo,5.87,0.0859476486912173,0.0845293402671814
psychology,psychiatry,8.08,,
psychology,anxiety,7.0,0.0481587039675992,0.04534551501274109
psychology,fear,6.85,0.10333608340208507,0.09184318035840988
psychology,depression,7.42,0.060922523063076585,0.060947198420763016
psychology,clinic,6.58,-0.12658216455411386,-0.13143225014209747
psychology,doctor,6.42,0.06871971799294983,0.06894977390766144
psychology,Freud,8.21,-0.028371709292732323,-0.024002358317375183
psychology,mind,7.69,0.04343508587714694,0.03830621391534805
psychology,health,7.23,-0.021846546163654095,-0.01392841711640358
psychology,science,6.71,-0.15049426235655894,-0.13859015703201294
psychology,discipline,5.58,-0.03593339833495838,-0.03651648387312889
psychology,cognition,7.48,0.09210230255756395,0.08737318217754364
planet,star,8.45,0.00023100577514437864,-0.0019337231060490012
planet,constellation,8.06,0.012171304282607067,0.022419657558202744
planet,moon,8.08,0.0006090152253806347,0.0013534862082451582
planet,sun,8.02,-0.011158778969474238,-0.003123954636976123
planet,galaxy,8.11,0.0511932798319958,0.036395732313394547
planet,space,7.92,0.007114677866946674,0.010960252955555916
planet,astronomer,7.94,-0.022919072976824422,-0.011262524873018265
precedent,example,5.85,-0.03947948698717468,-0.02801034227013588
precedent,information,3.85,0.02439660991524788,0.01920963265001774
precedent,cognition,2.81,0.050699767494187364,0.05564182996749878
precedent,law,6.65,-0.07262431560789022,-0.07342153042554855
precedent,collection,2.5,0.030786769669241733,0.035964496433734894
precedent,group,1.77,-0.0480987024675617,-0.04983510449528694
precedent,antecedent,6.04,,
cup,coffee,6.58,0.054040351008775224,0.06219545379281044
cup,tableware,6.85,,
cup,article,2.4,0.04162454061351534,0.02744138427078724
cup,artifact,2.92,0.06543313582839572,0.06982935220003128
cup,object,3.69,-0.06016050401260032,-0.06061505153775215
cup,entity,2.15,-0.03487437185929649,-0.03483232110738754
cup,drink,7.25,-0.03623940598514964,-0.02947370521724224
cup,food,5.0,0.019089477236930923,0.012428506277501583
cup,substance,1.92,-0.015330383259581491,-0.024808313697576523
cup,liquid,5.9,0.01683342083552089,0.01130146998912096
jaguar,cat,7.42,0.026697667441686043,0.02747252956032753
jaguar,car,7.27,-0.006331658291457287,-0.0153534896671772
energy,secretary,1.81,-0.05910897772444312,-0.048977602273225784
secretary,senate,5.06,,
energy,laboratory,5.09,0.046424660616515415,0.056151703000068665
computer,laboratory,6.78,0.019780994524863125,0.030369991436600685
weapon,secret,6.06,-0.05100277506937675,-0.05115828663110733
FBI,fingerprint,6.94,,
FBI,investigation,8.31,-0.06503262581564541,-0.039355769753456116
investigation,effort,4.59,0.030065251631290785,0.047871340066194534
Mars,water,2.94,-0.08872121803045077,-0.08812709152698517
Mars,scientist,5.63,-0.0476951923798095,-0.034445952624082565
news,report,8.16,-0.020258006450161258,-0.01632336527109146
canyon,landscape,7.53,0.027003675091877302,0.02711249329149723
image,surface,4.56,0.017404935123378085,0.0142969386652112
discovery,space,6.34,-0.07707792694817371,-0.05913681909441948
water,seepage,6.56,0.015636390909772747,0.018717026337981224
sign,recess,2.38,-0.05385584639615991,-0.05696043744683266
Wednesday,news,2.22,-0.03144828620715518,-0.019651396200060844
mile,kilometer,8.66,0.0008415210380259508,0.003384001785889268
computer,news,4.47,0.0222665566639166,0.02115587145090103
territory,surface,5.34,-0.05903697592439812,-0.06136650964617729
atmosphere,landscape,3.69,-0.026613665341633546,-0.029781166464090347
president,medal,3.0,-0.014878871971799296,-0.02045692317187786
war,troops,8.13,-0.03415585389634741,-0.0304298996925354
record,number,6.31,0.011176779419485488,0.03823280707001686
skin,eye,6.22,-0.12077851946298661,-0.11427244544029236
Japanese,American,6.5,0.15880297007425187,0.19474118947982788
theater,history,3.91,0.0053446336158403975,0.021680068224668503
volunteer,motto,2.56,-0.02500488449894592,-0.02660907618701458
prejudice,recognition,3.0,0.046432160804020114,0.04811117425560951
decoration,valor,5.63,,
century,year,7.59,0.09448136203405086,0.10050742328166962
century,nation,3.16,-0.06893722343058578,-0.06911860406398773
delay,racism,1.19,-0.052918322958073964,-0.044273216277360916
delay,news,3.31,0.04318457961449037,0.05110859125852585
minister,party,6.63,0.03868896722418061,0.027386374771595
peace,plan,4.75,0.07532738318457963,0.09149138629436493
minority,peace,3.69,0.010239255981399537,0.02021194063127041
attempt,peace,4.25,0.14997074926873175,0.16501586139202118
government,crisis,6.56,0.08409660241506038,0.08548266440629959
deployment,departure,4.25,-0.022979074476861924,-0.034017227590084076
deployment,withdrawal,5.88,0.15963399084977128,0.16393931210041046
energy,crisis,5.94,-0.03985599639991,-0.03319763019680977
announcement,news,7.56,0.07867096677416936,0.09042344987392426
announcement,effort,2.75,0.06301507537688443,0.07227328419685364
stroke,hospital,7.03,-0.06678616965424136,-0.06904900819063187
disability,death,5.47,0.04853521338033451,0.04600845277309418
victim,emergency,6.47,0.09300982524563117,0.06543764472007751
treatment,recovery,7.91,0.03544288607215181,0.04580655321478844
journal,association,4.97,0.08059251481287034,0.09160508215427399
doctor,personnel,5.0,0.07436135903397585,0.06867680698633194
doctor,liability,5.19,0.05741543538588466,0.04466445371508598
liability,insurance,7.03,-0.03574589364734119,-0.06069168075919151
school,center,3.44,0.08292657316432912,0.08861555904150009
reason,hypertension,2.31,,
reason,criterion,5.91,-0.06192004800120004,-0.07053829729557037
hundred,percent,7.38,0.008326708167704195,0.002635239390656352
Harvard,Yale,8.13,0.06763969099227482,0.060102496296167374
hospital,infrastructure,4.63,-0.1941093527338184,-0.1878867894411087
death,row,5.25,0.09195379884497114,0.09059901535511017
death,inmate,5.03,-0.04123303082577064,-0.028715578839182854
lawyer,evidence,6.69,0.054044851121278034,0.048791203647851944
life,death,7.88,0.01096977424435611,0.011222335509955883
life,term,4.5,-0.03373584339608491,-0.03324008360505104
word,similarity,4.75,-0.0032745818645466144,-0.007052374072372913
board,recommendation,4.47,-0.0013725343133578342,-0.0017230104422196746
governor,interview,3.25,0.06086552163804096,0.052963338792324066
OPEC,country,5.63,,
peace,atmosphere,3.69,-0.058940973524338115,-0.0570584274828434
peace,insurance,2.94,-0.06403060076501914,-0.06165910139679909
territory,kilometer,5.28,-0.07038775969399236,-0.07909910380840302
travel,activity,5.0,0.05558538963474087,0.06207843869924545
competition,price,6.44,0.0035595889897247434,0.0021157274022698402
consumer,confidence,4.13,-0.055540388509712754,-0.06301078200340271
consumer,energy,4.75,0.0994164854121353,0.10386086255311966
problem,airport,2.38,0.18181654541363537,0.17535154521465302
car,flight,4.94,0.0063346583664591624,0.010963287204504013
credit,card,8.06,-0.06376209405235131,-0.06584551930427551
credit,information,5.31,0.015297382434560866,0.013248531147837639
hotel,reservation,8.03,-0.09039975999399986,-0.09326927363872528
grocery,money,5.94,0.10318007950198757,0.11124879121780396
registration,arrangement,6.0,-0.1438775969399235,-0.14779092371463776
arrangement,accommodation,5.41,0.09359333983349584,0.08536592125892639
month,hotel,1.81,-0.08680267006675169,-0.07765806466341019
type,kind,8.97,0.04732618315457887,0.05426769331097603
arrival,hotel,6.0,0.0785929648241206,0.06846491992473602
bed,closet,6.72,,
closet,clothes,8.0,,
situation,conclusion,4.81,0.02874221855546389,0.032540831714868546
situation,isolation,3.88,-0.06365559138978476,-0.06409966200590134
impartiality,interest,5.16,0.01934598364959124,0.007912046276032925
direction,combination,2.25,0.11560489012225307,0.12577012181282043
street,place,6.44,0.12696167404185105,0.13011887669563293
street,avenue,8.88,,
street,block,6.88,0.07707492687317184,0.07130105048418045
street,children,4.94,0.007684692117302934,-0.009256619028747082
listing,proximity,2.56,0.02208505212630316,0.03131105750799179
listing,category,6.38,0.023186079651991303,0.020877238363027573
cell,phone,7.81,-0.005565139128478213,-0.011347774416208267
production,hike,1.75,,
benchmark,index,4.25,,
media,trading,3.88,-0.027021675541888553,-0.0213853120803833
media,gain,2.88,-0.029985749643741098,-0.03179961070418358
dividend,payment,7.63,,
dividend,calculation,6.48,,
calculation,computation,8.44,-0.002418060451511288,-0.009400615468621254
currency,market,7.5,-0.031167779194479866,-0.03364745154976845
OPEC,oil,8.59,,
oil,stock,6.34,0.047515187879697,0.04735146835446358
announcement,production,3.38,-0.0429940748518713,-0.0413704514503479
announcement,warning,6.0,0.026831170779269484,0.01101833675056696
profit,warning,3.88,-0.057877446936173416,-0.04413104057312012
profit,loss,7.63,0.05035025875646892,0.04760011285543442
dollar,yen,7.78,0.024966624165604145,0.01978379115462303
dollar,buck,9.22,0.003736593414835371,0.003943346440792084
dollar,profit,7.38,0.036794419860496516,0.026934335008263588
dollar,loss,6.09,0.09963999099977502,0.09930314868688583
computer,software,8.5,-0.0995274881872047,-0.10433841496706009
network,hardware,8.31,0.021639540988524712,0.023155486211180687
phone,equipment,7.13,-0.061795544888622225,-0.05658284202218056
equipment,maker,5.91,-0.024684617115427885,-0.03557908162474632
luxury,car,6.47,-0.06561914047851197,-0.06413638591766357
five,month,3.38,-0.04520513012825322,-0.060913119465112686
report,gain,3.63,0.02674866871671792,0.017640922218561172
investor,earning,7.13,,
liquid,water,7.89,-0.08391359783994602,-0.09603293985128403
baseball,season,5.97,0.06953723843096078,0.08837584406137466
game,victory,7.03,0.015786394659866497,0.003776275785639882
game,team,7.69,0.12270156753918848,0.13389763236045837
marathon,sprint,7.47,-0.006132153303832597,-0.005620182026177645
game,series,6.19,-0.010113252831320784,-0.005095188971608877
game,defeat,6.97,-0.022995574889372237,-0.026527008041739464
seven,series,3.56,-0.11644191104777621,-0.12128085643053055
seafood,sea,7.47,,
seafood,food,8.34,,
seafood,lobster,8.7,,
lobster,food,7.81,0.023693092327308186,0.027091380208730698
lobster,wine,5.7,0.12246456161404037,0.130952849984169
food,preparation,6.22,-0.07500787519687994,-0.06766204535961151
video,archive,6.34,-0.031071776794419866,-0.03672163188457489
start,year,4.06,-0.00860121503037576,-0.019085099920630455
start,match,4.47,0.07829595739893498,0.07388712465763092
game,round,5.97,-0.048979224480612024,-0.04981014132499695
boxing,round,7.61,-0.08939923498087453,-0.09035740792751312
championship,tournament,8.36,-0.05470936773419337,-0.05242883414030075
fighting,defeating,7.41,0.09201080027000676,0.09085888415575027
line,insurance,2.69,-0.07824645616140405,-0.07733356952667236
day,summer,3.94,0.09419335483387085,0.08460677415132523
summer,drought,7.16,-0.014292357308932725,-0.02004690282046795
summer,nature,5.63,-0.009615240381009528,-0.02842174470424652
day,dawn,7.53,-0.0442211055276382,-0.04332054778933525
nature,environment,8.31,-0.014608865221630544,-0.011794506572186947
environment,ecology,8.81,-0.02642916072901823,-0.025491954758763313
nature,man,6.25,0.02505512637815946,0.029985535889863968
man,woman,8.3,-0.03822545563639092,-0.03552045673131943
man,governor,5.25,0.08113852846321158,0.08278802782297134
murder,manslaughter,8.53,,
soap,opera,7.94,-0.009960249006225157,-0.006428203079849482
opera,performance,6.88,0.13950798769969253,0.12963764369487762
life,lesson,5.94,-0.02990774769369235,-0.01609777845442295
focus,life,4.06,0.1515877896947424,0.15082406997680664
production,crew,6.25,0.07924998124953125,0.07366838306188583
television,film,7.72,-0.03243981099527488,-0.05273245647549629
lover,quarrel,6.19,0.0013680342008550216,0.007308199070394039
viewer,serial,2.97,-0.0625980649516238,-0.06374575197696686
possibility,girl,1.94,0.03980949523738094,0.04729299992322922
population,development,3.75,0.17150978774469364,0.17623580992221832
morality,importance,3.31,-0.00011550288757218932,0.012166263535618782
morality,marriage,3.69,0.07395484887122179,0.06844701617956161
Mexico,Brazil,7.44,-0.0715607890197255,-0.06946831941604614
gender,equality,6.41,0.09521038025950651,0.10914401710033417
change,attitude,5.44,-0.06362259056476413,-0.07734604179859161
family,planning,6.25,-0.06550513762844072,-0.049632251262664795
opera,industry,2.63,-0.024471611790294757,-0.020177964121103287
sugar,approach,0.88,0.10471161779044477,0.10719075798988342
practice,institution,3.19,0.01854346358658967,0.025138745084404945
ministry,culture,4.69,0.011374784369609241,0.018322478979825974
problem,challenge,6.75,-0.0454766369159229,-0.041999027132987976
size,prominence,5.31,-0.020168004200105005,-0.024505384266376495
country,citizen,7.31,-0.02625365634140854,-0.028488921001553535
planet,people,5.75,0.0341753543838596,0.0458315871655941
development,issue,3.97,-0.0033420835520888027,-0.007970777340233326
experience,music,3.47,-0.12699017475436888,-0.1311342716217041
music,project,3.63,-0.007288682217055427,0.0006802752031944692
glass,metal,5.56,-0.11899347483687095,-0.11541230231523514
aluminum,metal,7.83,-0.07881797044926124,-0.07569283246994019
chance,credibility,3.88,0.04374709367734193,0.038695838302373886
exhibit,memorabilia,5.31,,
concert,virtuoso,6.81,-0.049402235055876396,-0.039908766746520996
rock,jazz,7.59,0.023961599039976005,0.018936092033982277
museum,theater,7.19,0.08721218030450763,0.09087830036878586
observation,architecture,4.38,-0.10043351083777095,-0.09387911856174469
space,world,6.53,-0.0372054301357534,-0.047557611018419266
preservation,world,6.19,-0.09224180604515114,-0.10308066010475159
admission,ticket,7.69,-0.10470561764044102,-0.09701967239379883
shower,thunderstorm,6.31,0.04289507237680942,0.04520642012357712
shower,flood,6.03,-0.011310282757068928,-0.0164293572306633
weather,forecast,8.34,-0.08846471161779046,-0.08684700727462769
disaster,area,6.25,0.004150603765094128,-0.02143910713493824
governor,office,6.34,0.03856896422410561,0.03690093755722046
architecture,century,3.78,0.028616215405385136,0.03144140914082527
